Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_68680	9	11	5	0	0	0	15	16	11	0	0	0	0.794217304761604	0.838136905879152	1
PA14_65260	1987	1880	871	2	2	0	1330	1685	728	4	1	4	-1.21113811021969	0.196146579464406	0.806978774183763
PA14_07020	0	2	0	29	22	21	1	2	0	26	16	75	-0.163639375535226	0.871994786959639	1
PA14_65900	13	17	13	1	1	6	4	3	26	2	6	0	-0.533870226587423	0.519441423201156	1
PA14_06510	9	6	12	0	0	0	3	3	0	0	0	0	-1.84442051933931	0.351872805073171	1
PA14_57800,PA14_57810,PA14_57820	294	233	165	34	25	32	296	278	193	53	52	19	-0.295581177717139	0.187516177603128	0.782400876865132
PA14_20120	36	30	52	0	0	0	11	14	9	0	0	0	-1.7196462714127	0.310939034737137	1
PA14_NovelOrf_018	136	104	60	595	313	1901	44	58	36	463	350	705	-0.692109897940138	9.22071126240498e-06	0.000146655670190318
PA14_38900,PA14_38910,PA14_38920	0	0	0	0	0	0	48	37	85	0	0	0	5.66102915863675	6.93887596150954e-07	1.31699865749451e-05
PA14_68040	4	4	0	0	0	0	1	1	3	0	0	0	-0.736965594166206	0.981335884824635	1
PA14_57190,PA14_57200	119	122	88	112	75	181	88	74	58	86	82	72	-0.0662713726534139	0.74857107687983	1
PA14_41320	11	9	15	71309	26695	66201	9	9	1	51488	42804	5209	-0.227172056781861	0.721563663935114	1
PA14sr_147	44	21	13	0	0	0	12	19	56	0	0	0	0.0062811814577905	0.9953001139752	1
PA14sr_146	0	0	0	14	5	8	0	0	0	7	5	3	0.785647049135296	0.867257685185672	1
PA14_25020,PA14_25030	8	12	6	0	0	0	4	8	35	0	0	0	0.219913137273989	0.847046094389613	1
PA14sr_142	13	13	8	0	0	0	14	9	6	0	0	0	-0.27336634131368	0.828284770443914	1
PA14_45350	35	22	15	0	0	0	83	86	143	0	0	0	2.01566711535845	0.182145007119589	0.769386995948768
PA14sr_140	32	26	21	9	4	3	61	30	81	18	12	9	-0.36600020695267	0.536192476287582	1
PA14_60230	33	11	30	161	150	101	22	26	18	237	227	176	-0.79227441787936	0.00296455496232589	0.0260496542522895
PA14sr_149	2	1	1	6	6	1	0	0	0	1	4	0	0.785261151206987	0.950399385270105	1
PA14_53480	10	7	0	3	2	9	2	11	0	12	8	1	-1.89270898006759	0.0212328415205101	0.147438780021688
PA14_13170	7	6	5	5	3	3	8	10	5	5	5	10	-0.461953173490442	0.688611957238007	1
PA14_44080	11	7	4	56	46	138	4	5	6	37	55	116	-0.302020709582684	0.677777124948235	1
